Gebruik,Frequencies,Perc.Total,Perc.Valid,Cumulative
1,305,22.4,22.4,22.4
2,294,21.6,21.6,44
3,196,14.4,14.4,58.4
4,106,7.8,7.8,66.2
5,53,3.9,3.9,70.1
6,198,14.5,14.5,84.6
7,17,1.2,1.2,85.9
8,21,1.5,1.5,87.4
9,9,0.7,0.7,88.1
10,9,0.7,0.7,88.8
11,1,0.1,0.1,88.8
12,87,6.4,6.4,95.2
14,2,0.1,0.1,95.4
15,8,0.6,0.6,96
16,1,0.1,0.1,96
17,1,0.1,0.1,96.1
18,26,1.9,1.9,98
20,5,0.4,0.4,98.4
24,4,0.3,0.3,98.7
25,1,0.1,0.1,98.8
26,11,0.8,0.8,99.6
30,1,0.1,0.1,99.6
36,1,0.1,0.1,99.7
52,2,0.1,0.1,99.9
60,1,0.1,0.1,99.9
78,1,0.1,0.1,100
,Total valid,1361,100,100
